
5G Broadcast Expe
5G NR 26 GHz Expe
5G NR 3400-3800 Expe
ADS-B
AIS
AIS/GPS
ANA
ANM
ANT
BLR 26 GHZ
BLR 3 GHz
BLR 3 GHZ
BLR LTE 3500
COM AERTER
COM MAR
COM TER
DME
EM
EM/REC
ER HF
FH
FH ABI
FM
GALILEO
GONIO;Station de goniométrie
GPS;GPS
GPS D;GPS
GSM 1800;2G
GSM 1800/GSM 900;2G/1G
GSM 900;1G
GSM 900/GSM 1800;1G/2G
GSM R;	Radiotéléphonie numérique pour le Réseau Ferré
LTE 1400 Expe;4G
LTE 1800;4G
LTE 2100;4G
LTE 2600;4G
LTE 700;4G
LTE 800;4G
PMR;Station d'un réseau privé
RADIOASTRO;Station de radioastronomie
RDF AM;Radiodiffusion sonore en modulation d'amplitude
RDF DVB-T;Radiodiffusion TV numérique de terre, service TV dans le protocole de mesure
RDF T-DAB;Radiodiffusion sonore numérique terrestre
RDF TV-AN; radiodiffusion ?
RDR;radar
RDR COT;radar cotier
RDR MTO;radar meteo
RDR PFL;radar (potentielement navigation maritime)
REC;?
RMU-POCSAG;Radiomessagerie
RS;Radio sonde
RS/TELEM;Radio sonde/Station de télémesure
SAT;Station terrienne standard
SAT GEO;Station terrienne vers satellites géostationnaires
SAT NGEO;Station terrienne vers satellites non géostationnaires
TELECD;Télécommande d'appareillage
TELECD/TELEM;Télécommande d'appareillage/Station de télémesure
TELEM;Station de télémesure
TELEM/TELECD;Station de télémesure/Télécommande d'appareillage 
TETRA;Réseau privé à la norme TETRA
TETRAPOL;defence et securité
UMTS 2100;3G
UMTS 2100/UMTS 900;3G
UMTS 900;3G
VOR-C;navigation aérienne
