'num';'IDsurface';'IDcrs';'x1';'y1';'x2';'y2';'x3';'y3';'x4';'y4';'SupProchePt1';'SupProchePt2';'SupProchePt3';'SupProchePt4';'IdAllSupProche'
'30';'CRS3035RES200mN2032000E4250000';'LAEA200M_N10160E21250';'9.15461';'41.3854';'9.15699';'41.3855';'9.15696';'41.3873';'9.15458';'41.3872';'468919-377';'468919-291';'468919-245';'468919-342';'592323-468919'
'31';'CRS3035RES200mN2032000E4250200';'LAEA200M_N10160E21251';'9.15699';'41.3855';'9.15937';'41.3855';'9.15934';'41.3873';'9.15696';'41.3873';'468919-218';'468919-176';'468919-80';'468919-152';'592323-468919'
'32';'CRS3035RES200mN2032000E4250400';'LAEA200M_N10160E21252';'9.15937';'41.3855';'9.16175';'41.3855';'9.16172';'41.3873';'9.15934';'41.3873';'468919-185';'592323-209';'592323-114';'468919-97';'592323-1677047-468919'
'34';'CRS3035RES200mN2032000E4252000';'LAEA200M_N10160E21260';'9.17842';'41.3856';'9.18080';'41.3857';'9.18078';'41.3875';'9.17839';'41.3874';'579561-1294';'579561-1304';'579561-1403';'1677047-1358';'579561-592323-1677047'
'40';'CRS3035RES200mN2032200E4250200';'LAEA200M_N10161E21251';'9.15696';'41.3873';'9.15934';'41.3873';'9.15932';'41.3891';'9.15694';'41.3891';'468919-138';'468919-45';'468919-133';'468919-187';'592323-468919'
'41';'CRS3035RES200mN2032200E4250400';'LAEA200M_N10161E21252';'9.15934';'41.3873';'9.16172';'41.3873';'9.16170';'41.3891';'9.15932';'41.3891';'592323-52';'592323-47';'592323-107';'592323-111';'592323-1677047-468919'
'42';'CRS3035RES200mN2032200E4250600';'LAEA200M_N10161E21253';'9.16172';'41.3873';'9.16411';'41.3873';'9.16408';'41.3891';'9.16170';'41.3891';'592323-147';'1677047-192';'1677047-95';'1677047-108';'592323-1677047-468919'
'43';'CRS3035RES200mN2032200E4250800';'LAEA200M_N10161E21254';'9.16411';'41.3873';'9.16649';'41.3873';'9.16646';'41.3891';'9.16408';'41.3891';'1677047-233';'1677047-302';'1677047-251';'1677047-162';'592323-1677047'
'44';'CRS3035RES200mN2032200E4251000';'LAEA200M_N10161E21255';'9.16649';'41.3873';'9.16887';'41.3874';'9.16884';'41.3892';'9.16646';'41.3891';'1677047-384';'1677047-471';'1677047-441';'1677047-345';'592323-1677047'
'45';'CRS3035RES200mN2032200E4251200';'LAEA200M_N10161E21256';'9.16887';'41.3874';'9.17125';'41.3874';'9.17123';'41.3892';'9.16884';'41.3892';'1677047-563';'1677047-658';'1677047-637';'1677047-539';'592323-1677047'
'48';'CRS3035RES200mN2032200E4251800';'LAEA200M_N10161E21259';'9.17601';'41.3874';'9.17839';'41.3874';'9.17837';'41.3892';'9.17599';'41.3892';'1677047-1144';'1677047-1242';'1677047-1231';'1677047-1132';'579561-592323-1677047'
'49';'CRS3035RES200mN2032200E4252000';'LAEA200M_N10161E21260';'9.17839';'41.3874';'9.18078';'41.3875';'9.18075';'41.3893';'9.17837';'41.3892';'1677047-1340';'1677047-1439';'1677047-1429';'1677047-1330';'579561-671234-592323-1677047'
'52';'CRS3035RES200mN2032200E4252600';'LAEA200M_N10161E21263';'9.18554';'41.3875';'9.18792';'41.3875';'9.18790';'41.3893';'9.18551';'41.3893';'1875026-1293';'1875026-1204';'1875026-1256';'1875026-1341';'579561-671234-2012509-1875026'
'53';'CRS3035RES200mN2032200E4252800';'LAEA200M_N10161E21264';'9.18792';'41.3875';'9.19030';'41.3875';'9.19028';'41.3893';'9.18790';'41.3893';'1875026-1118';'1875026-1034';'1875026-1094';'1875026-1174';'671234-1875026'
'54';'CRS3035RES200mN2032200E4253000';'LAEA200M_N10161E21265';'9.19030';'41.3875';'9.19268';'41.3876';'9.19266';'41.3894';'9.19028';'41.3893';'1875026-955';'1875026-882';'1875026-952';'1875026-1019';'671234-1875026'
'56';'CRS3035RES200mN2032400E4250400';'LAEA200M_N10162E21252';'9.15932';'41.3891';'9.16170';'41.3891';'9.16168';'41.3909';'9.15929';'41.3909';'592323-204';'1677047-164';'1677047-199';'1677047-287';'592323-1677047-468919'
'57';'CRS3035RES200mN2032400E4250600';'LAEA200M_N10162E21253';'9.16170';'41.3891';'9.16408';'41.3891';'9.16406';'41.3909';'9.16168';'41.3909';'1677047-65';'1677047-37';'1677047-117';'1677047-129';'592323-1677047-468919'
'58';'CRS3035RES200mN2032400E4250800';'LAEA200M_N10162E21254';'9.16408';'41.3891';'9.16646';'41.3891';'9.16644';'41.3910';'9.16406';'41.3909';'1677047-134';'1677047-233';'1677047-260';'1677047-174';'592323-1677047'
'59';'CRS3035RES200mN2032400E4251000';'LAEA200M_N10162E21255';'9.16646';'41.3891';'9.16884';'41.3892';'9.16882';'41.3910';'9.16644';'41.3910';'1677047-335';'1677047-434';'1677047-450';'1677047-355';'592323-1677047'
'60';'CRS3035RES200mN2032400E4251200';'LAEA200M_N10162E21256';'9.16884';'41.3892';'9.17123';'41.3892';'9.17120';'41.3910';'9.16882';'41.3910';'1677047-533';'1677047-632';'1677047-642';'1677047-545';'592323-1677047'
'64';'CRS3035RES200mN2032400E4252600';'LAEA200M_N10162E21263';'9.18551';'41.3893';'9.18790';'41.3893';'9.18787';'41.3911';'9.18549';'41.3911';'1875026-1395';'1875026-1314';'1875026-1376';'1875026-1454';'671234-1762535-579561-1875026-2012509'
'70';'CRS3035RES200mN2032600E4251200';'LAEA200M_N10163E21256';'9.16882';'41.3910';'9.17120';'41.3910';'9.17118';'41.3928';'9.16880';'41.3928';'1677047-575';'1677047-668';'1677047-707';'1677047-620';'592323-1677047'
'72';'CRS3035RES200mN2032600E4252000';'LAEA200M_N10163E21260';'9.17835';'41.3911';'9.18073';'41.3911';'9.18070';'41.3929';'9.17832';'41.3929';'1677047-1346';'1677047-1444';'1677047-1462';'1677047-1366';'579561-592323-2012509-1677047'
'79';'CRS3035RES200mN2032800E4250800';'LAEA200M_N10164E21254';'9.16403';'41.3927';'9.16641';'41.3928';'9.16639';'41.3946';'9.16401';'41.3946';'1677047-437';'1677047-481';'1677047-571';'1677047-538';'592323-1677047'
