Distance max (km),Population
0.024,358681
0.049,1012687.5
0.074,1522697
0.099,1820372.75
0.124,2004592
0.149,2009968.75
0.174,1965468.75
0.199,1885547.75
0.224,1818404.25
0.249,1780508.5
0.274,1700782
0.299,1653405.75
0.324,1593036.5
0.349,1533770.5
0.374,1451734.75
0.399,1384217
0.424,1313023
0.449,1239464.5
0.474,1177762.5
0.499,1110340.75
0.524,1047336
0.549,1001396.75
0.574,940082
0.599,900242.75
0.624,851225.5
0.649,806961.75
0.674,760617.5
0.699,723209.75
0.724,682041.75
0.749,656198.25
0.774,619082
0.799,581734
0.824,562952.75
0.849,534536
0.874,514670.25
0.899,487906.75
0.924,464832
0.949,451293
0.974,430646.5
0.999,406089.75
Plus de 1.0,12868936.25
