'num';'IDsurface';'IDcrs';'x1';'y1';'x2';'y2';'x3';'y3';'x4';'y4';'SupPlusProche';'DistPlusProche';'ToutSupProche'
'1285';'CRS3035RES200mN2055400E4253400';'LAEA200M_N10277E21267';'9.19233';'41.5973';'9.19472';'41.5973';'9.19470';'41.5991';'9.19231';'41.5991';'666487';'3949.82';'1828622-666487'
'1287';'CRS3035RES200mN2055400E4257000';'LAEA200M_N10277E21285';'9.23534';'41.5976';'9.23773';'41.5976';'9.23771';'41.5995';'9.23532';'41.5994';'445750';'2671.57';'445750'
'1289';'CRS3035RES200mN2055400E4258000';'LAEA200M_N10277E21290';'9.24729';'41.5977';'9.24968';'41.5977';'9.24966';'41.5995';'9.24727';'41.5995';'445750';'1790.88';'445750'
'1291';'CRS3035RES200mN2055400E4259600';'LAEA200M_N10277E21298';'9.26640';'41.5979';'9.26879';'41.5979';'9.26877';'41.5997';'9.26638';'41.5997';'1677017';'431.11';'1677017-445750'
'1292';'CRS3035RES200mN2055400E4259800';'LAEA200M_N10277E21299';'9.26879';'41.5979';'9.27118';'41.5979';'9.27116';'41.5997';'9.26877';'41.5997';'1677017';'287.11';'1677017-2170308'
'1293';'CRS3035RES200mN2055400E4260000';'LAEA200M_N10277E21300';'9.27118';'41.5979';'9.27357';'41.5979';'9.27355';'41.5997';'9.27116';'41.5997';'1677017';'240.92';'1677017-2170308-774685'
'1294';'CRS3035RES200mN2055400E4260200';'LAEA200M_N10277E21301';'9.27357';'41.5979';'9.27596';'41.5979';'9.27594';'41.5997';'9.27355';'41.5997';'2170308';'187.21';'1677017-2170308-774685'
'1295';'CRS3035RES200mN2055400E4260400';'LAEA200M_N10277E21302';'9.27596';'41.5979';'9.27835';'41.5979';'9.27833';'41.5998';'9.27594';'41.5997';'2170308';'178.15';'1677017-2170308-774685'
'1306';'CRS3035RES200mN2055600E4257400';'LAEA200M_N10278E21287';'9.24010';'41.5995';'9.24249';'41.5995';'9.24246';'41.6013';'9.24007';'41.6013';'445750';'2404.92';'1677017-445750'
'1307';'CRS3035RES200mN2055600E4257800';'LAEA200M_N10278E21289';'9.24488';'41.5995';'9.24727';'41.5995';'9.24724';'41.6013';'9.24485';'41.6013';'445750';'2069.81';'1677017-445750'
'1309';'CRS3035RES200mN2055600E4260000';'LAEA200M_N10278E21300';'9.27116';'41.5997';'9.27355';'41.5997';'9.27353';'41.6015';'9.27114';'41.6015';'1677017';'52.39';'1677017-2170308'
